Type,Test Plan ID,Suite Path,Suite ID,Test Case ID,Title,Step Number,Step Action,Expected Result,Execution Status,Execution Outcome,Last Run Date,Last Run By,Assigned To,Created Date,Created By,Area Path,Iteration,Automated
Suite,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,,SUITE: Account Managment - Admin Profile,,,,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123892,Verify Viewing Administrator Account Information,,,,Not Executed,,,,Cody Huls,2025-12-12T22:54:00.113Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123892,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123892,,2,Click Account tab,Account tab is accessible from admin navigation,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123892,,3,Verify account information screen displays,Account screen displays administrator's profile information,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123892,,4,Review User Full Name field (disabled),Read-only field shows User Full Name,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123892,,5,Review Profile field showing 'Administrator' (disabled),Profile field is disabled and shows 'Administrator' role,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123892,,6,Review Username field (disabled),Username field is disabled and displays current username,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123892,,7,Verify Email Address is editable,Email Address field is editable,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123892,,8,Verify SMS Number is editable,SMS Number field is editable,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123892,,9,Verify address fields are editable,Address fields (Street City State/Province Zip/Postal Code Country) are editable,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123894,Verify Updating Administrator SMS Number,,,,Not Executed,,,,Cody Huls,2025-12-12T22:54:00.113Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123894,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123894,,2,Navigate to Account tab,Account screen displays,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123894,,3,Locate SMS Number field,SMS Number field is editable,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123894,,4,Enter valid phone number,Valid phone number is entered in correct format,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123894,,5,Click Save,Save button commits changes,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123894,,6,Verify number is saved,Updated SMS saves successfully and is used for urgent system alerts or two-factor authentication,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123894,,7,Test with invalid format and verify validation,Invalid format shows validation error,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123894,,8,Update with international format if applicable,International format including country code is accepted,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123895,Verify Updating Administrator Address Information,,,,Not Executed,,,,Cody Huls,2025-12-12T22:54:00.113Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123895,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123895,,2,Navigate to Account tab,Account screen displays,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123895,,3,Locate address fields section,Address fields are editable: Street City State/Province Zip/Postal Code Country,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123895,,4,Update street address,Street address field accepts new value,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123895,,5,Update city,City field accepts new value,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123895,,6,Update state/province,State/Province field accepts new value,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123895,,7,Update zip/postal code,Zip/Postal Code field accepts new value,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123895,,8,Update country,Country field accepts new value,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123895,,9,Click Save,Save button commits all address changes,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123895,,10,Verify all address fields are updated,All address fields save together and persist for account records compliance documentation and contact purposes,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123896,Verify Email Notifications Configuration,,,,Not Executed,,,,Cody Huls,2025-12-12T22:54:00.113Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123896,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123896,,2,Navigate to Account tab,Account screen displays,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123896,,3,Locate 'Receive email notifications' checkbox,'Receive email notifications' checkbox controls system emails,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123896,,4,Check the box to enable notifications,Checkbox is checked and administrator will receive system alerts error notifications and configuration change confirmations,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123896,,5,Save changes,Setting saves immediately or with Save button,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123896,,6,Verify setting persists,Email notification setting persists after save,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123896,,7,Uncheck to disable,Checkbox can be unchecked to disable email notifications,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123897,Verify Administrator Account Read-Only Fields,,,,Not Executed,,,,Cody Huls,2025-12-12T22:54:00.113Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123897,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123897,,2,Navigate to Account tab,Account screen displays,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123897,,3,Verify User Full Name field is disabled,User Full Name field is disabled and cannot be edited,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123897,,4,Verify Profile field is disabled and shows 'Administrator',Profile field is disabled and shows 'Administrator' role,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123897,,5,Verify Username field is disabled,Username field is disabled and cannot be changed,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123897,,6,Attempt to click in disabled fields (should not be editable),Read-only fields are not editable and do not accept input,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123897,,7,Confirm only editable fields can be modified,Only Email Address SMS Number and address fields can be modified,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123898,Verify Saving Account Changes,,,,Not Executed,,,,Cody Huls,2025-12-12T22:54:00.113Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123898,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123898,,2,Navigate to Account tab,Account screen displays,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123898,,3,Make changes to email SMS or address,Changes are entered in editable fields,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123898,,4,Click Save button,Save button commits all account changes,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123898,,5,Verify success confirmation,Success message confirms save,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123898,,6,Logout and login again,Administrator can logout and login again,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123898,,7,Verify changes persisted,Changes persist after logout and login,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > Account Managment - Admin Profile,123864,123898,,8,Make invalid change and verify save is blocked,Validation errors prevent save until corrected and failed save shows error message,,,,,,,,,,
Separator,,,,,,,,,,,,,,,,,,
Suite,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,,SUITE: DICOM Node Managment,,,,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123877,Verify DICOM Nodes List Display,,,,Not Executed,,,,Cody Huls,2025-12-12T22:53:35.053Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123877,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123877,,2,Click on DICOM Nodes tab,DICOM Nodes tab is accessible from admin navigation,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123877,,3,Verify DICOM nodes list displays,Complete list of all configured DICOM nodes displays,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123877,,4,Verify each node shows AET host port in card heading,Each node card shows AET@Host:Port format (e.g. ACAET@dcm4che.qa-encounterservices.com:11112),,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123877,,5,Verify node description displays,Node description/name is displayed for each DICOM node,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123877,,6,Verify pagination controls and Select All checkbox,Pagination indicator shows current and total pages and Select All checkbox allows multi-node selection,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123877,,7,Verify New and Search buttons are visible,New button allows creating new DICOM nodes and Search button provides node search capability,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123878,Verify DICOM Node List Pagination,,,,Not Executed,,,,Cody Huls,2025-12-12T22:53:35.053Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123878,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123878,,2,Navigate to DICOM Nodes tab,DICOM Nodes tab displays with list of nodes,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123878,,3,Verify multiple pages exist,Pagination indicator shows multiple pages (e.g. 1 of 5 page(s)),,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123878,,4,Note current page indicator,Current page number is displayed,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123878,,5,Click Next button to navigate to next page,Next button navigates to subsequent page,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123878,,6,Verify next page of nodes loads and page indicator updates,New page of DICOM nodes displays and page indicator updates correctly,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123878,,7,Click Previous button to return,Previous button navigates back to prior page,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123878,,8,Verify navigation works correctly,Previous page displays correctly and pagination is smooth and responsive,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123879,Verify DICOM Node Search Functionality,,,,Not Executed,,,,Cody Huls,2025-12-12T22:53:35.053Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123879,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123879,,2,Navigate to DICOM Nodes tab,DICOM Nodes tab displays,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123879,,3,Click Search button,Search button opens DICOM node search dialog,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123879,,4,Enter search criteria (e.g. AET name),Search fields allow filtering by AET host port or description,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123879,,5,Execute search,Search returns matching nodes and is case-insensitive,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123879,,6,Verify matching nodes display,Only DICOM nodes matching search criteria are displayed,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123879,,7,Clear search and verify full list returns,Clear search returns full DICOM nodes list,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123880,Verify DICOM Node Selection,,,,Not Executed,,,,Cody Huls,2025-12-12T22:53:35.053Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123880,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123880,,2,Navigate to DICOM Nodes tab,DICOM Nodes tab displays with list of nodes,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123880,,3,Click on a DICOM node card from the list,DICOM node card can be clicked for selection,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123880,,4,Verify node is selected with visual indication,Selected node is visually indicated and highlighted,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123880,,5,Verify checkbox is checked for selected node,Checkbox for selected node is checked,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123880,,6,Verify Edit Delete and Echo buttons appear,Management buttons appear: Edit Delete and Echo,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123880,,7,Select another node and verify multi-select behavior,Multiple nodes can be selected for bulk operations,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123881,Verify Creating New DICOM Node,,,,Not Executed,,,,Cody Huls,2025-12-12T22:53:35.053Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123881,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123881,,2,Navigate to DICOM Nodes tab,DICOM Nodes tab displays,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123881,,3,Click New button,New button opens DICOM node creation form,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123881,,4,Verify DICOM node creation form appears,Creation form displays with required fields,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123881,,5,Fill in Node AET (e.g. TESTAET),AET field accepts alphanumeric Application Entity Title,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123881,,6,Fill in Node Host (e.g. dicom.example.com),Host field accepts hostname or IP address,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123881,,7,Fill in Node Port (e.g. 11112),Port field accepts numeric port number (typically 11112 or 104),,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123881,,8,Fill in Description field,Description field provides friendly name for node,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123881,,9,Select or type Institution name,Institution field associates node with institution via autocomplete,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123881,,10,Optionally check Use Encrypted TLS Communication,Use Encrypted TLS Communication checkbox enables TLS encryption,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123881,,11,Click Save button,Save button creates new DICOM node after validation,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123881,,12,Verify new node is created and appears in list,New node appears in DICOM nodes list and is immediately active,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123882,Verify Editing DICOM Node Configuration,,,,Not Executed,,,,Cody Huls,2025-12-12T22:53:35.053Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123882,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123882,,2,Navigate to DICOM Nodes tab,DICOM Nodes tab displays,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123882,,3,Select a DICOM node from the list,DICOM node is selected,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123882,,4,Click Edit button,Edit button opens node configuration screen,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123882,,5,Verify edit form displays with current node data,All node fields are editable: AET Host Port Description Institution,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123882,,6,Modify node configuration (e.g. change description),Changes can be made to any editable field,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123882,,7,Click Save button,Save button commits configuration changes,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123882,,8,Verify changes are saved,Success message or confirmation indicates save completed,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123882,,9,Re-open node to verify changes persisted,Changes persist and are reflected in node configuration,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123883,Verify DICOM Node AET Configuration,,,,Not Executed,,,,Cody Huls,2025-12-12T22:53:35.053Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123883,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123883,,2,Create or edit a DICOM node,DICOM node creation or edit form opens,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123883,,3,Enter Node AET in AET field,Node AET (Application Entity Title) is required field,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123883,,4,Verify AET field accepts valid format,AET typically 1-16 characters alphanumeric,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123883,,5,Attempt duplicate AET and verify error,AET must be unique within the system and duplicate shows validation error,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123883,,6,Attempt invalid characters and verify validation,Invalid AET format shows validation error,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123883,,7,Save with valid AET,Valid unique AET is accepted and saved for DICOM communication identification,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123884,Verify DICOM Node Host and Port Configuration,,,,Not Executed,,,,Cody Huls,2025-12-12T22:53:35.053Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123884,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123884,,2,Create or edit DICOM node,DICOM node form opens,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123884,,3,Enter Node Host (hostname or IP address),Node Host accepts hostname (FQDN) or IP address,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123884,,4,Enter Node Port (numeric),Node Port accepts numeric port (1-65535) common DICOM ports are 104 and 11112,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123884,,5,Verify validation for valid formats,Host field validates format and port must be numeric,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123884,,6,Test with invalid formats and verify errors,Invalid host or port format shows validation error,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123884,,7,Save with valid host and port,Valid host and port combination saves successfully,,,,,,,,,,
Test Case,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123885,Verify DICOM Node Institution Association,,,,Not Executed,,,,Cody Huls,2025-12-12T22:53:35.053Z,Cody Huls,eNcounterCloud Modernization,eNcounterCloud Modernization,No
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123885,,1,Login as administrator user,User is successfully logged into eCloud as administrator,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123885,,2,Create or edit DICOM node,DICOM node form opens,,,,,,,,,,
Test Step,123776,eCloudModern Automation > Administrative > Administrator > DICOM Node Managment,123863,123885,,3,Locate Institution field,Institution field is visible and required,,,,,,,,,,
